canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC1CC1CO,P01375,,38.0,,7.42,Other,compound_4706
CC(C)(C)OC(=O)NC12CCC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)(CC1)CC2,P01375,,677.0,,6.169,Other,compound_4707
CC(=O)N[C@@H]1CC[C@@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,453.0,,6.344,Other,compound_4709
CC(=O)N[C@H]1CC[C@@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,320.0,,6.495,Other,compound_4710
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@@H]1CC[C@@H](N)C1,P01375,,46.0,,7.337,Other,compound_4711
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@@H]1CC[C@H](N)C1,P01375,,623.0,,6.206,Other,compound_4712
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@@H](N)C1,P01375,,362.0,,6.441,Other,compound_4713
CC(=O)N[C@@H]1CC[C@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,198.0,,6.703,Other,compound_4714
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@H](NC(=O)C(F)(F)F)CC1,P01375,,37.0,,7.432,Other,compound_4715
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@H](NS(C)(=O)=O)CC1,P01375,,59.0,,7.229,Other,compound_4717
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@H](N)CC1,P01375,,136.0,,6.866,Other,compound_4718
CC(=O)NC12CCC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)(CC1)CC2,P01375,,11.0,,7.959,Other,compound_4719
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC12CCC(N)(CC1)CC2,P01375,,23.0,,7.638,Other,compound_4720
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@@H](NC(=O)C(F)(F)F)CC1,P01375,,2222.0,,5.653,Other,compound_4721
CC(=O)N[C@H]1CC[C@@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)CC1,P01375,,1906.0,,5.72,Other,compound_4722
CC(C)Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)N[C@H]1CCOC[C@@H]1F,P01375,,169.0,,6.772,Other,compound_4723
CC(C)Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)N[C@@H]1CCOC[C@H]1F,P01375,,187.0,,6.728,Other,compound_4724
C[C@@H](O)C(=O)N1CCC(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)CC1,P01375,,157.0,,6.804,Other,compound_4725
CC1(C(=O)N2CCC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)CC2)COC1,P01375,,228.0,,6.642,Other,compound_4726
